,country,date,new_cases,cumulative_cases
461,Estonia,2023-01-31,12436,40680401
462,Eswatini,2020-01-31,0,0
463,Eswatini,2020-07-31,2577,70747
464,Eswatini,2021-01-31,13089,1240009
465,Eswatini,2021-07-31,9849,3325851
466,Eswatini,2022-01-31,42827,9114810
467,Eswatini,2022-07-31,4937,12860429
468,Eswatini,2023-01-31,131,4988254
469,Ethiopia,2020-01-31,0,0
470,Ethiopia,2020-07-31,16615,413470
471,Ethiopia,2021-01-31,120406,16341850
472,Ethiopia,2021-07-31,143003,41742234
473,Ethiopia,2022-01-31,184906,66730884
474,Ethiopia,2022-07-31,27264,85983411
475,Ethiopia,2023-01-31,1394,33532678
476,Falkland Islands (Malvinas),2020-01-31,0,0
477,Falkland Islands (Malvinas),2020-07-31,13,1422
478,Falkland Islands (Malvinas),2021-01-31,27,3319
479,Falkland Islands (Malvinas),2021-07-31,20,10161
480,Falkland Islands (Malvinas),2022-01-31,29,13492
481,Falkland Islands (Malvinas),2022-07-31,1750,149261
482,Falkland Islands (Malvinas),2023-01-31,91,128145
483,Faroe Islands,2020-01-31,0,0
484,Faroe Islands,2020-07-31,225,24645
485,Faroe Islands,2021-01-31,432,90391
486,Faroe Islands,2021-07-31,328,130392
487,Faroe Islands,2022-01-31,18123,675732
488,Faroe Islands,2022-07-31,15550,6095671
489,Faroe Islands,2023-01-31,0,2356744
490,Fiji,2020-01-31,0,0
491,Fiji,2020-07-31,27,2340
492,Fiji,2021-01-31,28,6907
493,Fiji,2021-07-31,28605,525540
494,Fiji,2022-01-31,33735,9342654
495,Fiji,2022-07-31,5154,11732594
496,Fiji,2023-01-31,696,4630185
497,Finland,2020-01-31,3,54
498,Finland,2020-07-31,7467,768960
499,Finland,2021-01-31,38315,3796313
500,Finland,2021-07-31,61918,14857825
501,Finland,2022-01-31,402207,36737690
502,Finland,2022-07-31,709916,175892806
503,Finland,2023-01-31,92808,86466101
504,France,2020-01-31,6,30
505,France,2020-07-31,179988,17423807
506,France,2021-01-31,2934548,270804025
507,France,2021-07-31,2856954,878184114
508,France,2022-01-31,12580444,1502593467
509,France,2022-07-31,14293466,4831713304
510,France,2023-01-31,1819638,2285961254
511,French Guiana,2020-01-31,0,0
512,French Guiana,2020-07-31,7728,249202
513,French Guiana,2021-01-31,8355,2020513
514,French Guiana,2021-07-31,14081,3852510
515,French Guiana,2022-01-31,45078,8275724
516,French Guiana,2022-07-31,17333,14854848
517,French Guiana,2023-01-31,1399,6362440
518,French Polynesia,2020-01-31,0,0
519,French Polynesia,2020-07-31,62,7472
520,French Polynesia,2021-01-31,17998,1543905
521,French Polynesia,2021-07-31,1988,3392519
522,French Polynesia,2022-01-31,28218,7929452
523,French Polynesia,2022-07-31,27174,12711764
524,French Polynesia,2023-01-31,1263,5194730
525,Gabon,2020-01-31,0,0
526,Gabon,2020-07-31,7352,352616
527,Gabon,2021-01-31,3396,1657468
528,Gabon,2021-07-31,14636,3774356
529,Gabon,2022-01-31,21338,6329494
530,Gabon,2022-07-31,1789,8633382
531,Gabon,2023-01-31,202,3308419
532,Gambia,2020-01-31,0,0
533,Gambia,2020-07-31,484,6633
534,Gambia,2021-01-31,3606,624229
535,Gambia,2021-07-31,3872,1030800
536,Gambia,2022-01-31,3901,1853708
537,Gambia,2022-07-31,286,2170401
538,Gambia,2023-01-31,293,840902
539,Georgia,2020-01-31,0,0
540,Georgia,2020-07-31,1168,89674
541,Georgia,2021-01-31,256943,16773603
542,Georgia,2021-07-31,161423,57687894
543,Georgia,2022-01-31,756389,136079626
544,Georgia,2022-07-31,510295,293732036
545,Georgia,2023-01-31,94473,118646918
546,Germany,2020-01-31,6,46
547,Germany,2020-07-31,209233,21687306
548,Germany,2021-01-31,2008161,156284413
549,Germany,2021-07-31,1552946,577187880
550,Germany,2022-01-31,6187010,993852650
551,Germany,2022-07-31,20957010,4147122327
552,Germany,2023-01-31,2912001,2195300973
553,Ghana,2020-01-31,0,0
554,Ghana,2020-07-31,37014,1414430
555,Ghana,2021-01-31,30768,9165308
556,Ghana,2021-07-31,35237,16488097
557,Ghana,2022-01-31,54201,24127916
558,Ghana,2022-07-31,10907,29360533
559,Ghana,2023-01-31,1558,11474844
560,Gibraltar,2020-01-31,0,0
561,Gibraltar,2020-07-31,178,18438
562,Gibraltar,2021-01-31,3910,197949
563,Gibraltar,2021-07-31,834,780754
564,Gibraltar,2022-01-31,7926,1270129
565,Gibraltar,2022-07-31,7054,3161812
566,Gibraltar,2023-01-31,193,1362940
567,Greece,2020-01-31,0,0
568,Greece,2020-07-31,4401,375777
569,Greece,2021-01-31,152072,12030812
570,Greece,2021-07-31,334079,58940774
571,Greece,2022-01-31,1444455,164122171
572,Greece,2022-07-31,2420017,593178317
573,Greece,2023-01-31,620043,323281821
574,Greenland,2020-01-31,0,0
575,Greenland,2020-07-31,14,1541
576,Greenland,2021-01-31,16,3415
577,Greenland,2021-07-31,88,7360
578,Greenland,2022-01-31,10544,347164
579,Greenland,2022-07-31,1309,2148184
580,Greenland,2023-01-31,0,814028
581,Grenada,2020-01-31,0,0
582,Grenada,2020-07-31,24,2512
583,Grenada,2021-01-31,124,9963
584,Grenada,2021-07-31,20,28500
585,Grenada,2022-01-31,12143,913587
586,Grenada,2022-07-31,6475,2850024
587,Grenada,2023-01-31,750,1309184
588,Guadeloupe,2020-01-31,0,0
589,Guadeloupe,2020-07-31,244,21108
590,Guadeloupe,2021-01-31,8912,1096888
591,Guadeloupe,2021-07-31,10250,2534259
592,Guadeloupe,2022-01-31,93262,9833295
593,Guadeloupe,2022-07-31,73712,26904858
594,Guadeloupe,2023-01-31,6421,12995539
595,Guam,2020-01-31,0,0
596,Guam,2020-07-31,348,24167
597,Guam,2021-01-31,7031,801027
598,Guam,2021-07-31,892,1410376
599,Guam,2022-01-31,17346,2564013
600,Guam,2022-07-31,20564,7252637
601,Guam,2023-01-31,2734,3271263
602,Guatemala,2020-01-31,0,0
603,Guatemala,2020-07-31,48826,1378354
604,Guatemala,2021-01-31,110292,19527888
605,Guatemala,2021-07-31,203016,42449264
606,Guatemala,2022-01-31,326192,104214547
607,Guatemala,2022-07-31,349425,153324093
608,Guatemala,2023-01-31,90191,74467540
609,Guernsey,2020-01-31,0,0
610,Guernsey,2020-07-31,252,29681
611,Guernsey,2021-01-31,241,51082
612,Guernsey,2021-07-31,455,148880
613,Guernsey,2022-01-31,10245,704152
614,Guernsey,2022-07-31,18731,4060850
615,Guernsey,2023-01-31,1621,2091964
616,Guinea,2020-01-31,0,0
617,Guinea,2020-07-31,7242,426777
618,Guinea,2021-01-31,7290,2144814
619,Guinea,2021-07-31,11269,3787033
620,Guinea,2022-01-31,10212,5688844
621,Guinea,2022-07-31,1416,6648907
622,Guinea,2023-01-31,521,2563079
623,Guinea-Bissau,2020-01-31,0,0
624,Guinea-Bissau,2020-07-31,1981,129994
625,Guinea-Bissau,2021-01-31,654,433761
626,Guinea-Bissau,2021-07-31,1844,657430
627,Guinea-Bissau,2022-01-31,3107,1139165
628,Guinea-Bissau,2022-07-31,854,1481604
629,Guinea-Bissau,2023-01-31,356,589189
630,Guyana,2020-01-31,0,0
631,Guyana,2020-07-31,398,19899
632,Guyana,2021-01-31,7130,727138
633,Guyana,2021-07-31,14844,2530587
634,Guyana,2022-01-31,37078,6456999
635,Guyana,2022-07-31,10295,11677959
636,Guyana,2023-01-31,1611,4819660
637,Haiti,2020-01-31,0,0
638,Haiti,2020-07-31,7378,349670
639,Haiti,2021-01-31,4294,1677178
640,Haiti,2021-07-31,8654,2677875
641,Haiti,2022-01-31,9151,4415237
642,Haiti,2022-07-31,2928,5590208
643,Haiti,2023-01-31,1297,2269224
644,Holy See,2020-01-31,0,0
645,Holy See,2020-07-31,12,1387
646,Holy See,2021-01-31,14,3741
647,Holy See,2021-07-31,0,4706
648,Holy See,2022-01-31,0,4784
649,Holy See,2022-07-31,0,4706
650,Holy See,2023-01-31,0,1768
