Port Name,Administrative Approach Rank,"Total
Points",Economy Label,Port Name.1,Statistic Approach Rank,IndeX Value,Economy Label.1,Period,Period Label,Year,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
AARHUS,82,50.953,Denmark,PIRAEUS,82,20.096,Greece,2021S01,S1   2021,2021,S,Semi-annual,208,3,Container ships,623,
AARHUS,82,50.953,Denmark,PIRAEUS,82,20.096,Greece,2021S01,S1   2021,2021,S,Semi-annual,208,4,Dry breakbulk carriers,4459,
AARHUS,82,50.953,Denmark,PIRAEUS,82,20.096,Greece,2021S01,S1   2021,2021,S,Semi-annual,208,5,Dry bulk carriers,411,
AARHUS,82,50.953,Denmark,PIRAEUS,82,20.096,Greece,2021S01,S1   2021,2021,S,Semi-annual,208,6,Roll-on/ roll-off ships,555,
AARHUS,82,50.953,Denmark,PIRAEUS,82,20.096,Greece,2021S01,S1   2021,2021,S,Semi-annual,208,7,Liquefied petroleum gas carriers,29,
FREDERICIA,176,12.83,Denmark,MATADI,176,4.869,the Republic of the Congo,2021S01,S1   2021,2021,S,Semi-annual,208,0,All ships,50774,
FREDERICIA,176,12.83,Denmark,MATADI,176,4.869,the Republic of the Congo,2021S01,S1   2021,2021,S,Semi-annual,208,1,Passenger ships,43381,
FREDERICIA,176,12.83,Denmark,MATADI,176,4.869,the Republic of the Congo,2021S01,S1   2021,2021,S,Semi-annual,208,2,Liquid bulk carriers,1316,
FREDERICIA,176,12.83,Denmark,MATADI,176,4.869,the Republic of the Congo,2021S01,S1   2021,2021,S,Semi-annual,208,3,Container ships,623,
FREDERICIA,176,12.83,Denmark,MATADI,176,4.869,the Republic of the Congo,2021S01,S1   2021,2021,S,Semi-annual,208,4,Dry breakbulk carriers,4459,
FREDERICIA,176,12.83,Denmark,MATADI,176,4.869,the Republic of the Congo,2021S01,S1   2021,2021,S,Semi-annual,208,5,Dry bulk carriers,411,
FREDERICIA,176,12.83,Denmark,MATADI,176,4.869,the Republic of the Congo,2021S01,S1   2021,2021,S,Semi-annual,208,6,Roll-on/ roll-off ships,555,
FREDERICIA,176,12.83,Denmark,MATADI,176,4.869,the Republic of the Congo,2021S01,S1   2021,2021,S,Semi-annual,208,7,Liquefied petroleum gas carriers,29,
COPENHAGEN,206,4.97,Denmark,LARVIK,206,2.153,Norway,2021S01,S1   2021,2021,S,Semi-annual,208,0,All ships,50774,
COPENHAGEN,206,4.97,Denmark,LARVIK,206,2.153,Norway,2021S01,S1   2021,2021,S,Semi-annual,208,1,Passenger ships,43381,
