Port Name,Administrative Approach Rank,"Total
Points",Statistic Approach Rank,IndeX Value,Economy Label,Period,Period Label,Year,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
ALGECIRAS,11,155.851,10,70.323,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,3,Container ships,7367,
ALGECIRAS,11,155.851,10,70.323,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,4,Dry breakbulk carriers,6488,
ALGECIRAS,11,155.851,10,70.323,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,5,Dry bulk carriers,1542,
ALGECIRAS,11,155.851,10,70.323,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,6,Roll-on/ roll-off ships,2970,
ALGECIRAS,11,155.851,10,70.323,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,7,Liquefied petroleum gas carriers,647,
ALGECIRAS,11,155.851,10,70.323,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,8,Liquefied natural gas carriers,170,
ALICANTE,229,1.007,222,0.745,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,0,All ships,53130,
ALICANTE,229,1.007,222,0.745,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,1,Passenger ships,26286,
ALICANTE,229,1.007,222,0.745,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,2,Liquid bulk carriers,7660,
ALICANTE,229,1.007,222,0.745,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,3,Container ships,7367,
ALICANTE,229,1.007,222,0.745,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,4,Dry breakbulk carriers,6488,
ALICANTE,229,1.007,222,0.745,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,5,Dry bulk carriers,1542,
ALICANTE,229,1.007,222,0.745,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,6,Roll-on/ roll-off ships,2970,
ALICANTE,229,1.007,222,0.745,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,7,Liquefied petroleum gas carriers,647,
ALICANTE,229,1.007,222,0.745,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,8,Liquefied natural gas carriers,170,
ALTAMIRA,85,50.07,76,21.645,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,0,All ships,53130,
ALTAMIRA,85,50.07,76,21.645,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,1,Passenger ships,26286,
ALTAMIRA,85,50.07,76,21.645,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,2,Liquid bulk carriers,7660,
ALTAMIRA,85,50.07,76,21.645,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,3,Container ships,7367,
ALTAMIRA,85,50.07,76,21.645,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,4,Dry breakbulk carriers,6488,
ALTAMIRA,85,50.07,76,21.645,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,5,Dry bulk carriers,1542,
ALTAMIRA,85,50.07,76,21.645,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,6,Roll-on/ roll-off ships,2970,
